D_affect,P,N,Qualite,Horaire,Type,R,Jour,Arrêt,Placement,Jr_pl
12-Jan-22,4625,922760177,,Nuit,,922761095,4,17-Jan-22,,
12-Jan-22,815N,2067N,,Nuit,,,2,20-Jan-22,,
12-Jan-22,4605,10389,,Nuit,,1332N,1,02-Feb-22,,
11-Jan-22,4660,922760643,,Nuit,,,4,13-Feb-22,,
12-Jan-22,4662,201327501,,Nuit,,,5,13-Feb-22,,
13-Jan-22,999N,8805,,Nuit,,201327993,4,01-Feb-22,,
12-Jan-22,4397,6901,,Nuit,,6121,2,21-Dec-22,,
12-Jan-22,4663,2067N,,Nuit,,,2,13-Feb-22,,
12-Jan-22,4687,8670,,Jour,,,1,13-Feb-22,,
12-Jan-22,4N,9762,,Nuit,,922761160,2,01-Feb-22,,
10-Jan-22,4799,5488,,Nuit,,,,01-Feb-22,,
10-Jan-22,4800,9249,,Jour,,,,01-Feb-22,,
13-Jan-22,3530,922759988,,Nuit,,9186,1,01-Feb-22,,
11-Jan-22,551N,201328237,,Nuit,,201328325,4,07-Mar-22,,
09-Jan-22,820N,1352N,,Nuit,,9697,2,01-Apr-22,,
10-Jan-22,4801,2067N,,Nuit,,,,11-Jan-22,,
10-Jan-22,4801,2067N,,Nuit,,,,12-Jan-22,,
10-Jan-22,4802,2067N,,Jour,,,,12-Jan-22,,
12-Jan-22,4664,8830,,Nuit,,,4,13-Feb-22,,
12-Jan-22,4688,922761056,,Jour,,,2,13-Feb-22,,
12-Jan-22,4689,7483,,Jour,,,4,13-Feb-22,,
12-Jan-22,4690,2067N,,Jour,,,6,13-Mar-22,,
12-Jan-22,4691,2067N,,Jour,,,5,13-Feb-22,,
12-Jan-22,4665,201328114,,Nuit,,,7,13-Feb-22,,
12-Jan-22,4692,2067N,,Jour,,,3,13-Feb-22,,
12-Jan-22,4693,10271,,Jour,,,7,13-Feb-22,,
12-Jan-22,4694,2067N,,Jour,,,7,13-Feb-22,,
12-Jan-22,4659,922760205,,Nuit,,9684,3,13-Feb-22,,
12-Jan-22,4661,8041,,Nuit,,,5,13-Feb-22,,
12-Jan-22,4657,9965,,Nuit,,9684,2,13-Feb-22,,
12-Jan-22,4658,8749,,Nuit,,9684,1,13-Feb-22,,
13-Jan-22,4803,536N,,Nuit,,6617,1,29-Sep-22,,
13-Jan-22,4803,2067N,,Nuit,,,2,14-Jan-22,,
13-Jan-22,4795,2067N,,Nuit,,,,15-Jan-22,,
13-Jan-22,4804,922760074,,Jour,,6617,7,22-Oct-22,,
14-Jan-22,641N,2067N,,Nuit,,5911,1,16-Jan-22,,
12-Jan-22,253N,7088,,Nuit,,201327412,2,08-Sep-22,,
13-Jan-22,4783,922761231,,Nuit,,922760848,4,08-Feb-22,,
14-Jan-22,4252,2067N,,Nuit,,,,15-Jul-22,,
07-Jan-22,4283,437N,,Nuit,,922760989,3,01-Feb-22,,
14-Jan-22,604N,8485,,Nuit,,9419,1,20-Apr-22,,
10-Jan-22,190N,922759765,,Nuit,,396J,1,29-Jan-22,,
09-Jan-22,4269,1024J,,Jour,,2002J,7,31-Mar-22,,
14-Jan-22,4721,366J,,Jour,,922760145,6,14-Apr-22,,
14-Jan-22,2692,975J,,Jour,,,,,,
14-Jan-22,4728,922761159,,Jour,,9172,5,04-Apr-22,,
10-Jan-22,98N,364N,,Nuit,,922760189,3,01-Feb-22,922760189,4
10-Jan-22,704J,201327939,,Jour,,922760189,7,12-Jan-22,922760189,1
10-Jan-22,623N,1178N,,Nuit,,1771J,3,01-Feb-22,,
05-Jan-22,868N,1360N,,Nuit,,9170,3,13-Dec-22,,
08-Jan-22,3230,201327613,,Nuit,,,3,02-Feb-22,,
08-Jan-22,92J,922760258,,Jour,,,7,08-Aug-22,,
09-Jan-22,3471,201328158,,Nuit,,5060,1,26-Jan-22,,
09-Jan-22,3472,9745,,Jour,,5060,5,04-Nov-22,,
13-Jan-22,830J,9440,,Jour,,6853,7,31-Dec-22,,
13-Jan-22,4142,1215N,,Nuit,,6853,4,20-Apr-22,,
13-Jan-22,2924,343N,,Nuit,,6853,3,25-Mar-22,,
13-Jan-22,598J,5873,,Jour,,6853,6,,,
13-Jan-22,994N,1112N,,Nuit,,6853,2,,,
13-Jan-22,2217,8945,,Nuit,,6853,1,,,
13-Jan-22,2838,4629,,Jour,,922760725,6,01-Feb-22,,
13-Jan-22,3547,922759898,,Jour,,2289N,6,23-Aug-22,,
13-Jan-22,744J,1052J,,Jour,,,4,29-Mar-22,,
13-Jan-22,2206,8525,,Jour,,,6,22-Mar-22,,
13-Jan-22,4619,201327641,,Nuit,,,2,15-Feb-22,,
13-Jan-22,4620,922760691,,Jour,,,7,15-Feb-22,,
13-Jan-22,3999,8677,,Nuit,,,1,01-Feb-22,,
13-Jan-22,704J,15N,,Jour,,922760189,7,01-Feb-22,922760189,1
09-Jan-22,846J,669J,,Jour,,922760686,6,22-Dec-22,,
13-Jan-22,4643,922761241,,Jour,,693N,1,31-Jan-23,,
13-Jan-22,3968,922759861,,Jour,,1298N,6,13-Jan-22,,
11-Jan-22,3434,8250,,Jour,,922760993,7,01-Feb-22,,
13-Jan-22,4252,922761138,,Nuit,,922762642,3,,,
08-Jan-22,1980,730J,,Jour,,922761160,6,03-Oct-22,,
13-Jan-22,602J,922761306,,Jour,,922760095,3,01-Feb-22,,
08-Jan-22,516J,242J,,Jour,,9738,6,05-Nov-22,,
15-Dec-21,177J,543J,,Jour,,1036N,6,23-Sep-22,,
04-Jan-22,697J,478J,,Jour,,8449,5,01-Jul-22,,
05-Jan-22,2409,922760227,,Jour,,1683J,4,24-Jan-22,,
06-Jan-22,2209,818J,,Jour,,5788,6,07-Apr-22,,
13-Jan-22,745J,922760427,,Jour,,10062,4,17-Feb-22,,
08-Jan-22,541J,477J,,Jour,,7519,7,20-Feb-22,,
13-Jan-22,774J,922762787,,Jour,,7008,4,,,
13-Jan-22,4613,1336N,,Nuit,,6499,3,20-May-22,,
13-Jan-22,4795,318N,,Nuit,,,3,15-Jan-22,,
13-Jan-22,4795,6697,,Nuit,,922760085,2,07-Jul-22,,
11-Jan-22,4574,2067N,,Nuit,,,,14-Jan-22,,
11-Jan-22,4128,922761013,,Nuit,,,5,20-Oct-22,,
14-Jan-22,4793,201327986,,Nuit,,,,13-Mar-22,,
14-Jan-22,4793,922760614,,Nuit,,,,20-Feb-22,,
14-Jan-22,4793,922760961,,Nuit,,,,31-Mar-22,,
14-Jan-22,4793,2067N,,Nuit,,,,18-Jan-22,,
14-Jan-22,4805,922760759,,Nuit,,,,13-Mar-22,,
16-Jan-22,4795,922761197,,Nuit,,922760085,3,19-May-23,,
16-Jan-22,4795,5302,,Nuit,,922760085,1,30-Jul-22,,
15-Jan-22,4803,318N,,Nuit,,,2,01-Mar-22,,
08-Jan-22,847J,967J,,Jour,,,4,18-Dec-22,,
06-Jan-22,239N,1343N,,Nuit,,,2,11-Jan-22,,
06-Jan-22,547J,1141J,,Jour,,,7,11-Jan-22,,
06-Jan-22,134N,9759,,Nuit,,,4,02-Feb-22,,
06-Jan-22,2176,922760035,,Jour,,,6,11-Jan-22,,
06-Jan-22,985N,6964,,Nuit,,,3,15-Mar-22,,
06-Jan-22,2157,922761044,,Nuit,,,1,11-Jan-22,,
09-Jan-22,4797,922759775,,Nuit,,,,07-Feb-22,,
17-Jan-22,4806,10430,,Nuit,,,,19-Jan-22,,
17-Jan-22,4807,922761093,,Jour,,,,19-Jan-22,,
17-Jan-22,4159,2067N,,Jour,,798J,2,11-Jul-22,,
18-Jan-22,4808,922761140,,Jour,,,,10-Apr-22,,
16-Jan-22,2582,922761147,,Jour,,1840J,5,,,
17-Jan-22,4809,2067N,,Nuit,,,,21-Jan-22,,
18-Jan-22,4810,2067N,,Jour,,,,20-Jan-22,,
02-Jan-22,4159,2067N,,Jour,,922760009,5,17-Jan-22,,
18-Jan-22,274J,10437,,Jour,,201327412,7,10-May-22,,
18-Jan-22,4159,201327787,,Jour,,922760009,5,01-Mar-22,,
11-Jan-22,4159,2067N,,Jour,,,,19-Jan-22,,
18-Jan-22,3451,922761010,,Nuit,,,3,14-Feb-22,,
10-Jan-22,3332,2067N,,Nuit,,2139N,4,19-Jan-22,,
18-Jan-22,4715,9799,,Jour,,,,09-Feb-22,,
18-Jan-22,3463,2067N,,Jour,,,6,19-Jan-22,,
18-Jan-22,3633,2067N,,Jour,,922761141,4,19-Jan-22,,
18-Jan-22,760N,2067N,,Nuit,,530J,4,19-Jan-22,,
16-Jan-22,3594,389N,,Nuit,,10273,3,23-Mar-22,,
18-Jan-22,883N,685N,,Nuit,,,2,13-Mar-22,,
18-Jan-22,480N,201327902,,Nuit,,,3,02-Mar-23,,
18-Jan-22,459N,922760002,,Nuit,,,1,24-Apr-22,,
18-Jan-22,3748,434J,,Jour,,,7,01-Feb-22,,
18-Jan-22,2922,453J,,Jour,,,5,09-Feb-22,,
18-Jan-22,4058,922760704,,Jour,,,6,09-Mar-22,,
18-Jan-22,4032,26N,,Nuit,,922761156,1,15-Jun-22,,
18-Jan-22,658N,201328128,,Nuit,,922761156,2,15-Jun-22,,
18-Jan-22,2267,1176J,,Jour,,,7,09-Mar-22,,
18-Jan-22,2749,922760896,,Nuit,,,4,09-Mar-22,,
18-Jan-22,4074,766J,,Jour,,,6,01-Feb-22,,
18-Jan-22,972N,8729,,Nuit,,,1,10-Apr-22,,
18-Jan-22,4062,9659,,Nuit,,922761310,3,20-Feb-22,,
18-Jan-22,659J,922760597,,Jour,,,6,05-Mar-22,,
18-Jan-22,3922,922760045,,Jour,,,7,05-Mar-22,,
18-Jan-22,4625,2067N,,Nuit,,922761095,4,30-Jan-22,,
18-Jan-22,473N,806N,,Nuit,,,2,20-Jan-22,,
18-Jan-22,896N,922759718,,Nuit,,,3,20-Jan-22,,
18-Jan-22,896N,1614N,,Nuit,,,4,20-Jan-22,,
18-Jan-22,4024,6593,,Jour,,,7,25-Jul-22,,
18-Jan-22,4602,922760440,,Nuit,,,1,20-Jan-22,,
18-Jan-22,404N,922759728,,Nuit,,,5,15-Jun-22,,
18-Jan-22,4720,9219,,Nuit,,10090,3,01-Mar-22,,
18-Jan-22,3367,922760578,,Jour,,922761343,6,,,
18-Jan-22,935N,201327992,,Nuit,,922761343,4,,,
18-Jan-22,935N,922760786,,Nuit,,922761343,3,,,
18-Jan-22,461N,7650,,Nuit,,922761343,1,,,
18-Jan-22,225N,7298,,Jour,,922761343,7,10-Feb-23,,
18-Jan-22,889N,922761209,,Nuit,,922761343,2,16-Jun-22,,
16-Jan-22,4226,922761154,,Nuit,,7923,1,07-May-22,,
21-Jan-22,3249,6178,,Nuit,,5406,7,04-Jan-23,,
21-Jan-22,815N,10463,,Nuit,,,2,26-Feb-22,,
19-Jan-22,4811,922761093,,Jour,,,,13-Feb-22,,
20-Jan-22,1980,922761321,,Jour,,,,15-Feb-22,,
20-Jan-22,4N,2067N,,Nuit,,,,30-Jan-22,,
20-Jan-22,4810,922761327,,Jour,,,,21-Jan-22,,
20-Jan-22,4809,922759752,,Nuit,,,,21-Jan-22,,
19-Jan-22,4812,2067N,,Nuit,,,,20-Jan-22,,
19-Jan-22,4813,2067N,,Jour,,,,20-Jan-22,,
