D_affect,P,N,Qualite,Horaire,Type,R,Jour,Arrêt,Placement,Jr_pl
,951N,961N,,Nuit,,6023,3,06-Jan-16,,
,952N,644N,,Nuit,,5038,2,02-Jan-14,,
,953N,825N,,Nuit,,1656N,3,13-Oct-14,,
,954N,1162N,,Nuit,,1304N,1,31-Mar-15,,
,954N,1723N,,Nuit,,1304N,5,10-Mar-15,,
22-Sep-15,955N,350N,,Nuit,,4659,3,30-Sep-15,,
,956N,1671N,,Nuit,,1845N,3,31-Aug-14,,
,956N,457N,,Nuit,,1845N,2,31-Aug-14,,
,957N,811N,,Nuit,,,1,25-Jan-16,,
,958N,383N,,Nuit,,231N,3,24-Apr-16,,
,959N,1727N,,Nuit,,1829N,4,17-Dec-14,,
,95J,411J,,Jour,,1693J,5,14-Jan-15,,
08-Sep-15,95N,6179,,Nuit,,2145N,1,29-May-16,,
,960N,1068N,,Nuit,,2116N,1,28-Feb-15,,
03-Aug-15,960N,1275N,,Nuit,,6370,2,10-Feb-16,,
,961N,1960N,,Nuit,,1332N,2,01-Aug-14,,
,962N,352N,,Nuit,,6038,2,13-Feb-16,,
22-Nov-15,962N,6473,,Nuit,,,1,25-Jan-16,,
,963N,789N,,Nuit,,33N,1,06-Dec-14,,
,964N,768N,,Nuit,,5479,4,02-Mar-17,,
18-Jan-16,965N,4916,,Nuit,,6571,5,28-Jan-16,,
,966N,1407N,,Nuit,,1549N,2,22-Aug-14,,
,967N,1058N,,Nuit,,5184,4,13-Jul-17,,
,968N,374N,,Nuit,,6704,1,10-Mar-16,,
,968N,772N,,Nuit,,,3,27-Jan-16,,
,969N,2090N,,Nuit,,2313N,3,31-Aug-14,,
,96J,1184J,,Jour,,147J,5,15-Aug-14,,
17-Oct-15,96J,612J,,Jour,,85N,6,13-Mar-16,,
,96N,1425N,,Nuit,,1825N,2,10-Dec-14,,
,970N,1071N,,Nuit,,479J,2,18-Feb-15,,
,971N,279N,,Nuit,,1433N,2,24-Sep-14,,
,972N,1306N,,Nuit,,5127,2,10-Feb-16,,
,973N,924N,,Nuit,,,2,16-Feb-16,,
29-Dec-15,974N,300N,,Nuit,,112J,1,11-Apr-17,,
,975N,497N,,Nuit,,4947,4,04-Oct-15,,
,976N,2107N,,Nuit,,16N,4,06-Feb-15,,
,976N,2108N,,Nuit,,16N,3,15-Jan-15,,
21-Dec-15,977N,6491,,Nuit,,2234N,2,10-Feb-16,,
,978N,1165N,,Nuit,,5644,1,27-Jan-16,5624,3
,979N,1293N,,Nuit,,1517N,4,09-Feb-15,,
21-Jan-16,97J,6641,,Jour,,6641,5,04-Feb-16,,
,97N,239N,,Nuit,,1515N,4,02-Nov-14,,
,97N,456N,,Nuit,,1515N,1,13-Oct-14,,
,980N,1056N,,Nuit,,5926,2,11-May-17,,
,980N,245N,,Nuit,,234N,5,04-Jul-16,,
19-Jan-16,980N,1735N,,Nuit,,234N,4,04-Jul-16,,
06-Jul-15,981N,1037N,,Nuit,,1339J,1,15-Feb-16,,
,982N,408N,,Nuit,,204J,2,03-Aug-17,,
,983N,703N,,Nuit,,24N,2,25-Sep-16,,
,984N,674N,,Nuit,,283N,2,27-Dec-14,,
20-Jun-15,985N,5927,,Nuit,,5090,4,23-Mar-16,,
,985N,610N,,Nuit,,1891N,3,23-Mar-16,,
09-Dec-15,986N,5470,,Nuit,,2139N,4,26-Jan-16,,
,987N,1169N,,Nuit,,,3,27-Jan-16,,
,988N,1282N,,Nuit,,1831J,1,20-Apr-16,,
,989N,416N,,Nuit,,1999N,1,26-Jan-15,,
,98J,1647J,,Jour,,170J,4,14-Feb-15,,
,98N,1062N,,Nuit,,15N,3,01-Aug-14,,
,98N,364N,,Nuit,,15N,2,25-Aug-14,,
18-Sep-16,990N,1244N,,Nuit,,1555J,3,18-Sep-16,,
,991N,825N,,Nuit,,1680N,3,11-Apr-16,,
,992N,769N,,Nuit,,1781N,3,22-Nov-14,,
,993N,936N,,Nuit,,151N,1,07-Mar-16,,
,994N,1112N,,Nuit,,1479N,2,09-Feb-16,,
,995N,487N,,Nuit,,2195N,3,02-Dec-14,,
,995N,552N,,Nuit,,2242N,4,22-Dec-14,,
17-Oct-15,996N,1271N,,Nuit,,1113N,7,17-Nov-15,,
,997N,671N,,Nuit,,1496N,5,15-Nov-14,,
,998N,1043N,,Nuit,,6532,3,15-Jun-16,,
,998N,1239N,,Nuit,,2249N,1,20-Aug-14,,
,999N,1948N,,Nuit,,2231N,4,26-Nov-14,,
,99J,1093J,,Jour,,1253J,1,25-Sep-14,,
,99N,377N,,Nuit,,6442,2,06-Apr-16,,
,9J,399J,,Jour,,600J,3,12-Dec-14,,
,9N,1250N,,Nuit,,1576N,2,01-Aug-14,,
,9N,282N,,Nuit,,1576N,1,11-Aug-14,,
,N,1390N,,Nuit,,1259N,2,,,
,N,1415N,,Nuit,,1788N,4,,,
,N,1972N,,Nuit,,1973N,3,,,
,N,1979N,,Nuit,,1580N,3,,,
,N,1980N,,Nuit,,134N,3,,,
,N,1983N,,Nuit,,1985N,7,,,
,N,1984N,,Nuit,,1985N,1,,,
,N,1986N,,Nuit,,1467N,2,,,
,N,1988N,,Nuit,,1752N,3,,,
,N,1989N,,Nuit,,1458N,5,,,
,N,1992N,,Nuit,,1993N,1,,,
